PS C:\Users\wgsl-\Desktop\wgslsmith\spe\windows> ..\..\wgslsmith.exe reduce crash C:\Users\wgsl-\Desktop\wgslsmith\spe\windows\spe-2026-05-13-16-50-19\out\fused_77458_77458-3-crash\shader.wgsl -c dawn:dx12:5607  --regex "E_FAIL"
> using reducer: Perses
[01:10:57] [INFO   ] Tree Building: Start building spar-tree from input file SourceFile{file=C:\Users\wgsl-\Desktop\wgslsmith\spe\windows\spe-2026-05-13-16-50-19\out\fused_77458_77458-3-crash\reduced\shader.wgsl, lang=LanguageWgsl{name=wgsl, extensions=[wgsl], defaultCodeFormatControl=COMPACT_ORIG_FORMAT}}
[01:10:57] [INFO   ] Tree Building: Step 1: Antlr parsing.
[01:10:57] [INFO   ] Tree Building: Step 2: Converting parse tree to spar-tree
[01:10:57] [INFO   ] Tree Building: Step 3: Simplifying spar-tree
[01:10:57] [INFO   ] Tree Building: Finished in TimeSpan{startMillis=1779063057549, endMillis=1779063057727, formatted=0 seconds}
[01:10:57] [INFO   ] The reduction process started at 01:10:57 2026/05/18
[01:10:57] [INFO   ] Cache setting: query-caching=disabled, edit-caching=enabled, query-cache=compact_query_cache
[01:11:12] [INFO   ] Reduction algorithm is perses_node_priority_with_dfs_delta
[01:11:12] [INFO   ] The number of lexemes in the token factory is is 103
[01:11:12] [INFO   ] Reduction Started at 01:11:12 2026/05/18
[01:11:12] [INFO   ] perses_node_priority_with_dfs_delta started at 01:11:12 2026/05/18. #tokens=513
[01:11:12] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New fixpoint iteration started. #Tokens=513
[01:11:12] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=507)
[01:12:09] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 41 tokens, ratio=472/513=92.01%
[01:12:32] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 82 tokens, ratio=390/513=76.02%
[01:12:57] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 30 tokens, ratio=360/513=70.18%
[01:12:57] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=507): queue=1, delete 153 tokens, ratio=360/513=70.18%
[01:12:57] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=89)
[01:14:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=89): queue=12, delete 0 tokens, ratio=360/513=70.18%
[01:14:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=68)
[01:14:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=68): queue=13, delete 0 tokens, ratio=360/513=70.18%
[01:14:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=66)
[01:14:35] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 52 tokens, ratio=308/513=60.04%
[01:14:35] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=66): queue=15, delete 52 tokens, ratio=308/513=60.04%
[01:14:35] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=46)
[01:15:41] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=46): queue=15, delete 0 tokens, ratio=308/513=60.04%
[01:15:41] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=40)
[01:15:41] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=40): queue=17, delete 0 tokens, ratio=308/513=60.04%
[01:15:41] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38)
[01:16:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 20 tokens, ratio=288/513=56.14%
[01:16:25] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 6 tokens, ratio=282/513=54.97%
[01:16:47] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 6 tokens, ratio=276/513=53.80%
[01:16:59] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38): queue=19, delete 32 tokens, ratio=276/513=53.80%
[01:16:59] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38)
[01:17:10] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 38 tokens, ratio=238/513=46.39%
[01:17:10] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38): queue=19, delete 38 tokens, ratio=238/513=46.39%
[01:17:10] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=35)
[01:17:21] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 35 tokens, ratio=203/513=39.57%
[01:17:21] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=35): queue=18, delete 35 tokens, ratio=203/513=39.57%
[01:17:21] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=26)
[01:17:22] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=26): queue=17, delete 0 tokens, ratio=203/513=39.57%
[01:17:22] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
[01:17:32] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 23 tokens, ratio=180/513=35.09%
[01:17:32] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23): queue=18, delete 23 tokens, ratio=180/513=35.09%
[01:17:32] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
