PS C:\Users\wgsl-\Desktop\wgslsmith\spe\windows> ..\..\wgslsmith.exe reduce crash C:\Users\wgsl-\Desktop\wgslsmith\spe\windows\spe-2026-05-13-16-50-19/out/fused_39425_39425-3-crash/shader.wgsl -c dawn:dx12:5607  --regex "E_FAIL"
> using reducer: Perses
[02:16:33] [INFO   ] Tree Building: Start building spar-tree from input file SourceFile{file=C:\Users\wgsl-\Desktop\wgslsmith\spe\windows\spe-2026-05-13-16-50-19\out\fused_39425_39425-3-crash\reduced-1\shader.wgsl, lang=LanguageWgsl{name=wgsl, extensions=[wgsl], defaultCodeFormatControl=COMPACT_ORIG_FORMAT}}
[02:16:33] [INFO   ] Tree Building: Step 1: Antlr parsing.
[02:16:33] [INFO   ] Tree Building: Step 2: Converting parse tree to spar-tree
[02:16:33] [INFO   ] Tree Building: Step 3: Simplifying spar-tree
[02:16:33] [INFO   ] Tree Building: Finished in TimeSpan{startMillis=1779066993457, endMillis=1779066993691, formatted=0 seconds}
[02:16:33] [INFO   ] The reduction process started at 02:16:33 2026/05/18
[02:16:33] [INFO   ] Cache setting: query-caching=disabled, edit-caching=enabled, query-cache=compact_query_cache
[02:17:18] [INFO   ] Reduction algorithm is perses_node_priority_with_dfs_delta
[02:17:18] [INFO   ] The number of lexemes in the token factory is is 154
[02:17:18] [INFO   ] Reduction Started at 02:17:18 2026/05/18
[02:17:18] [INFO   ] perses_node_priority_with_dfs_delta started at 02:17:18 2026/05/18. #tokens=1211
[02:17:18] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New fixpoint iteration started. #Tokens=1211
[02:17:18] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=1205)
[02:18:14] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 97 tokens, ratio=1114/1211=91.99%
[02:18:37] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 134 tokens, ratio=980/1211=80.92%
[02:19:01] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 23 tokens, ratio=957/1211=79.03%
[02:19:12] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 21 tokens, ratio=936/1211=77.29%
[02:19:24] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 23 tokens, ratio=913/1211=75.39%
[02:19:36] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 115 tokens, ratio=798/1211=65.90%
[02:19:36] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=1205): queue=1, delete 413 tokens, ratio=798/1211=65.90%
[02:19:36] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=343)
[02:22:23] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=343): queue=22, delete 0 tokens, ratio=798/1211=65.90%
[02:22:23] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=339)
[02:22:34] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 337 tokens, ratio=461/1211=38.07%
[02:22:34] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=339): queue=23, delete 337 tokens, ratio=461/1211=38.07%
[02:22:34] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=59)
[02:24:05] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=59): queue=23, delete 0 tokens, ratio=461/1211=38.07%
[02:24:05] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=40)
[02:24:05] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=40): queue=25, delete 0 tokens, ratio=461/1211=38.07%
[02:24:05] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38)
[02:24:06] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38): queue=27, delete 0 tokens, ratio=461/1211=38.07%
[02:24:06] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38)
[02:24:47] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 8 tokens, ratio=453/1211=37.41%
[02:25:31] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 6 tokens, ratio=447/1211=36.91%
[02:26:02] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 6 tokens, ratio=441/1211=36.42%
[02:26:02] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38): queue=28, delete 20 tokens, ratio=441/1211=36.42%
[02:26:02] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38)
[02:26:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=38): queue=30, delete 0 tokens, ratio=441/1211=36.42%
[02:26:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=33)
[02:26:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=33): queue=31, delete 0 tokens, ratio=441/1211=36.42%
[02:26:03] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=33)
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 33 tokens, ratio=408/1211=33.69%
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=33): queue=32, delete 33 tokens, ratio=408/1211=33.69%
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=29)
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=29): queue=31, delete 0 tokens, ratio=408/1211=33.69%
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=29)
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=29): queue=33, delete 0 tokens, ratio=408/1211=33.69%
[02:26:13] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=27)
[02:26:34] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=27): queue=35, delete 0 tokens, ratio=408/1211=33.69%
[02:26:34] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=27)
[02:27:28] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 11 tokens, ratio=397/1211=32.78%
[02:27:28] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=27): queue=37, delete 11 tokens, ratio=397/1211=32.78%
[02:27:28] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=24)
[02:27:28] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=24): queue=38, delete 0 tokens, ratio=397/1211=32.78%
[02:27:28] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
[02:27:38] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 23 tokens, ratio=374/1211=30.88%
[02:27:38] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23): queue=40, delete 23 tokens, ratio=374/1211=30.88%
[02:27:38] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
[02:27:38] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23): queue=39, delete 0 tokens, ratio=374/1211=30.88%
[02:27:38] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
[02:27:49] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: New minimal, delete 23 tokens, ratio=351/1211=28.98%
[02:27:49] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23): queue=40, delete 23 tokens, ratio=351/1211=28.98%
[02:27:49] [INFO   ] Fixpoint[1]:Reducer[perses_node_priority_with_dfs_delta]: Delta node (#leaves=23)
